,Bank Name,Job Title,URL (URL of the job posting),cluster1_tech_words.csv,cluster2_fintech_words.csv
0,Citizen,Curriculum  Design Manager â€“ Mortgage Operations Training,https://jobs.citizensbank.com/job/united-states/curriculum-design-manager-mortgage-operations-training/288/10873329,0,0
0,Citizen,Personal Banker,https://jobs.citizensbank.com/job/dearborn-heights/personal-banker/288/10873325,0,0
0,Citizen,Curriculum  Design Manager â€“ Mortgage Operations Training,https://jobs.citizensbank.com/job/johnston/curriculum-design-manager-mortgage-operations-training/288/10873324,0,0
0,Citizen,Home Equity Product Services Specialist,https://jobs.citizensbank.com/job/warwick/home-equity-product-services-specialist/288/10873326,0,0
0,Citizen,Curriculum  Design Manager â€“ Mortgage Operations Training,https://jobs.citizensbank.com/job/irving/curriculum-design-manager-mortgage-operations-training/288/10873331,0,0
0,Citizen,Customer Service Teller,https://jobs.citizensbank.com/job/dearborn/customer-service-teller/288/10873332,0,0
0,Citizen,Personal Banker,https://jobs.citizensbank.com/job/plymouth/personal-banker/288/10873333,0,0
0,Citizen,Mortgage Loan Officer,https://jobs.citizensbank.com/job/north-bethesda/mortgage-loan-officer/288/10870206,0,0
0,Citizen,Information Security Principal Architect (Work at Home),https://jobs.citizensbank.com/job/ohio/information-security-principal-architect-work-at-home/288/10870199,20,0
0,Citizen,Mortgage Loan Officer (Work at Home),https://jobs.citizensbank.com/job/michigan/mortgage-loan-officer-work-at-home/288/10870196,0,0
0,Citizen,Mortgage Loan Officer (Work at Home),https://jobs.citizensbank.com/job/ohio/mortgage-loan-officer-work-at-home/288/10870200,0,0
0,Citizen,Home Mortgage Loan Officer Assistant,https://jobs.citizensbank.com/job/falls-church/home-mortgage-loan-officer-assistant/288/10870197,0,0
0,Citizen,"Senior Project Manager, Real Estate Operations Center of Excellence",https://jobs.citizensbank.com/job/johnston/senior-project-manager-real-estate-operations-center-of-excellence/288/10870203,0,0
0,Citizen,Strategic Comms Visual Designer,https://jobs.citizensbank.com/job/johnston/strategic-comms-visual-designer/288/10870209,0,0
0,Citizen,Information Security Principal Architect (Work at Home),https://jobs.citizensbank.com/job/pittsburgh/information-security-principal-architect-work-at-home/288/10870201,20,0
0,Citizen,Small Bus Relationship Bkr,https://jobs.citizensbank.com/job/middleburg-heights/small-bus-relationship-bkr/288/10870204,0,0
0,Citizen,Third Party Assessment Senior Analyst,https://jobs.citizensbank.com/job/johnston/third-party-assessment-senior-analyst/288/10870205,0,0
0,Citizen,Mortgage Loan Officer,https://jobs.citizensbank.com/job/north-bethesda/mortgage-loan-officer/288/10870211,0,0
0,Citizen,Information Security Principal Architect (Work at Home),https://jobs.citizensbank.com/job/johnston/information-security-principal-architect-work-at-home/288/10870212,20,0
0,Citizen,"Senior Project Manager, Real Estate Operations Center of Excellence",https://jobs.citizensbank.com/job/johnston/senior-project-manager-real-estate-operations-center-of-excellence/288/10870213,0,0
0,Citizen,Personal Banker Univ,https://jobs.citizensbank.com/job/brunswick/personal-banker-univ/288/10870202,0,0
